epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4211.38,0.92287,1.43348,0.55887,0.84575,0.833,0.7132,0.80516,0.55593,0.73204,0.61565,0.65951,0.3408,0.71146,1.13314,0.4833,0.71884,0.0006536,0.0006536,0.0006536
70,4268.93,0.94594,1.45578,0.55886,0.84328,0.8679,0.73603,0.8214,0.55942,0.76715,0.63151,0.66854,0.33391,0.72227,1.14125,0.53585,0.72075,0.0006338,0.0006338,0.0006338
71,4326.33,0.92362,1.4093,0.5768,0.83975,0.83683,0.73239,0.81271,0.55985,0.74022,0.606,0.65887,0.3399,0.70831,1.11933,0.70738,0.71864,0.000614,0.000614,0.000614
72,4384.13,0.94103,1.42717,0.5712,0.84001,0.84056,0.75641,0.82372,0.55771,0.7221,0.63989,0.65726,0.33284,0.71183,1.12409,0.5736,0.71919,0.0005942,0.0005942,0.0005942
73,4442.31,0.89534,1.35849,0.55364,0.83619,0.87477,0.70102,0.82073,0.57558,0.77853,0.60979,0.68538,0.35688,0.69505,1.11131,0.6095,0.71839,0.0005744,0.0005744,0.0005744
74,4498.58,0.93034,1.44384,0.57299,0.84122,0.8466,0.74848,0.83443,0.57368,0.73512,0.63599,0.66834,0.33202,0.69592,1.11598,0.54937,0.71679,0.0005546,0.0005546,0.0005546
75,4555.37,0.88687,1.33668,0.52595,0.83544,0.85652,0.72366,0.82347,0.5705,0.75701,0.61404,0.66325,0.33462,0.70011,1.11722,0.65839,0.71856,0.0005348,0.0005348,0.0005348
76,4613.69,0.9116,1.40009,0.54699,0.84174,0.86272,0.71703,0.81376,0.57058,0.74968,0.61186,0.66507,0.35052,0.70787,1.11057,0.46345,0.71764,0.000515,0.000515,0.000515
77,4671.74,0.90316,1.36275,0.57447,0.83601,0.82041,0.7212,0.81659,0.57488,0.70678,0.6168,0.66091,0.33764,0.69643,1.10594,0.49486,0.71719,0.0004952,0.0004952,0.0004952
78,4729.69,0.93214,1.41978,0.58738,0.84157,0.80785,0.73285,0.80509,0.55995,0.70737,0.62725,0.66059,0.33929,0.71276,1.12735,0.46349,0.72094,0.0004754,0.0004754,0.0004754
79,4786.75,0.91629,1.41169,0.54114,0.8457,0.8108,0.73961,0.81791,0.56367,0.70138,0.63059,0.6722,0.34585,0.7074,1.11479,0.48675,0.71963,0.0004556,0.0004556,0.0004556
80,4843.92,0.89699,1.37378,0.53979,0.83743,0.79184,0.76227,0.82299,0.56245,0.68361,0.64797,0.66423,0.34089,0.69688,1.11231,0.57802,0.71708,0.0004358,0.0004358,0.0004358
81,4901.12,0.90707,1.39446,0.53733,0.83837,0.83112,0.707,0.80878,0.57068,0.75751,0.59968,0.67715,0.35368,0.69517,1.11255,1.09182,0.71774,0.000416,0.000416,0.000416
82,4957.85,0.91449,1.40654,0.5597,0.84266,0.87861,0.71774,0.82718,0.57754,0.78525,0.61967,0.68788,0.35707,0.68242,1.09756,0.71568,0.71502,0.0003962,0.0003962,0.0003962
83,5014.11,0.8733,1.31229,0.51353,0.83314,0.81415,0.7384,0.82881,0.57445,0.70647,0.63254,0.6705,0.3386,0.68684,1.10188,0.54457,0.7157,0.0003764,0.0003764,0.0003764
84,5069.98,0.90226,1.40701,0.5864,0.84295,0.817,0.69508,0.80382,0.55066,0.69896,0.58876,0.64201,0.32989,0.70811,1.12268,0.57195,0.71804,0.0003566,0.0003566,0.0003566
85,5126.54,0.91499,1.39861,0.5501,0.83917,0.80191,0.72308,0.81567,0.57063,0.68725,0.62064,0.65681,0.33069,0.6827,1.09513,0.5195,0.7157,0.0003368,0.0003368,0.0003368
86,5183.08,0.91719,1.3939,0.57672,0.84175,0.82083,0.70976,0.81879,0.56254,0.74634,0.59906,0.67136,0.34542,0.69171,1.10161,0.5382,0.71683,0.000317,0.000317,0.000317
87,5239.02,0.89753,1.35896,0.51874,0.83058,0.83115,0.69838,0.81477,0.57087,0.72366,0.59175,0.6572,0.33963,0.69074,1.09747,0.46843,0.71638,0.0002972,0.0002972,0.0002972
88,5295.85,0.90308,1.39056,0.52242,0.83654,0.8103,0.72933,0.82302,0.57448,0.69362,0.61576,0.66147,0.34195,0.69506,1.11206,0.47631,0.71705,0.0002774,0.0002774,0.0002774
89,5352.41,0.90228,1.37633,0.51316,0.83648,0.82907,0.72802,0.82461,0.57998,0.71872,0.61864,0.66971,0.34546,0.67869,1.08217,0.46837,0.71588,0.0002576,0.0002576,0.0002576
90,5409.16,0.91515,1.3938,0.5335,0.84009,0.82101,0.70321,0.82453,0.57185,0.70521,0.5983,0.66072,0.33444,0.67796,1.08556,0.48493,0.71525,0.0002378,0.0002378,0.0002378
91,5502.57,0.90486,1.40049,0.4899,0.84192,0.80918,0.70953,0.81634,0.56259,0.69942,0.61266,0.66753,0.34298,0.68093,1.09282,0.50476,0.71535,0.000218,0.000218,0.000218
92,5557.6,0.8954,1.39426,0.46503,0.84196,0.81747,0.7225,0.82294,0.57579,0.70005,0.6168,0.66941,0.34494,0.6792,1.09268,0.46771,0.71567,0.0001982,0.0001982,0.0001982
93,5612.64,0.87129,1.38022,0.47596,0.83776,0.8805,0.66161,0.81899,0.5733,0.76991,0.56613,0.67077,0.34461,0.67826,1.09117,0.48336,0.71528,0.0001784,0.0001784,0.0001784
94,5668.02,0.8572,1.35304,0.49171,0.8368,0.90302,0.65633,0.82201,0.5753,0.79138,0.56256,0.67891,0.34993,0.67841,1.09028,0.46895,0.71565,0.0001586,0.0001586,0.0001586
95,5723.22,0.86696,1.35891,0.47061,0.84275,0.88017,0.66448,0.82409,0.57189,0.75524,0.56409,0.65661,0.33111,0.68848,1.08827,0.55376,0.7163,0.0001388,0.0001388,0.0001388
96,5778.38,0.88924,1.37144,0.46844,0.83719,0.81563,0.72182,0.8293,0.58437,0.70933,0.60175,0.6751,0.35038,0.68059,1.08785,0.45699,0.71625,0.000119,0.000119,0.000119
97,5833.83,0.88368,1.38674,0.46059,0.84326,0.91271,0.65311,0.82991,0.58507,0.78682,0.56302,0.68027,0.35691,0.68035,1.08172,0.49942,0.71559,9.92e-05,9.92e-05,9.92e-05
98,5889.44,0.88599,1.39541,0.45711,0.84342,0.90017,0.66012,0.82779,0.58356,0.7845,0.569,0.68607,0.36047,0.6734,1.07937,0.49585,0.71512,7.94e-05,7.94e-05,7.94e-05
99,5945.19,0.86965,1.37922,0.45885,0.8464,0.90018,0.6592,0.82586,0.58398,0.78263,0.56601,0.6818,0.35918,0.67384,1.07695,0.49582,0.71505,5.96e-05,5.96e-05,5.96e-05
100,6000.44,0.87266,1.37897,0.44949,0.83548,0.81013,0.72688,0.83282,0.58754,0.77288,0.57658,0.68653,0.35526,0.66828,1.07193,0.49168,0.71452,3.98e-05,3.98e-05,3.98e-05
