epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7051.47,0.93385,1.326,0.47976,0.8274,0,0.87119,0.80682,0.859,0.61161,0.72899,0.68617,0.7115,0.37327,0.84296,1.31656,0.55441,0.8195,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,7252.12,0.91588,1.28846,0.46176,0.82176,0,0.87264,0.8137,0.88049,0.63512,0.75418,0.68934,0.73657,0.38735,0.83579,1.34093,0.50465,0.81953,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,7450.67,0.91217,1.25824,0.4618,0.82005,0,0.86938,0.8431,0.87546,0.62018,0.73717,0.71488,0.72227,0.36843,0.8409,1.31832,0.46846,0.81991,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,7626.13,0.90528,1.27319,0.4588,0.82141,0,0.88372,0.83119,0.88234,0.63218,0.74705,0.70278,0.72252,0.36844,0.84203,1.3723,0.45992,0.82064,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,7927.14,0.91603,1.28378,0.46278,0.82134,0,0.86568,0.8541,0.87938,0.63615,0.74817,0.73032,0.74373,0.3938,0.83395,1.29238,0.46471,0.81895,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,8367.76,0.89307,1.26529,0.45114,0.82172,0,0.89855,0.81935,0.889,0.63302,0.77536,0.70539,0.74383,0.37119,0.82828,1.32083,0.46624,0.81996,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,8654.17,0.88994,1.24016,0.4528,0.81845,0,0.89752,0.84046,0.88424,0.63557,0.77199,0.71876,0.74468,0.39268,0.83687,1.33018,0.46596,0.82123,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,9225.41,0.9091,1.2904,0.45595,0.81998,0,0.89888,0.81645,0.88177,0.63831,0.76941,0.70166,0.74572,0.39304,0.84099,1.3148,0.47664,0.82152,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,9457.8,0.90341,1.2605,0.45408,0.8195,0,0.8673,0.84623,0.87709,0.62249,0.73664,0.72085,0.71655,0.35791,0.83366,1.35443,0.4846,0.81944,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,9659.2,0.90356,1.25742,0.45086,0.81897,0,0.8719,0.84872,0.88491,0.6348,0.74944,0.72971,0.75595,0.40645,0.85372,1.33912,0.47567,0.82347,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,9875.16,0.90388,1.26081,0.45083,0.81975,0,0.88121,0.86232,0.89028,0.64235,0.73997,0.73539,0.7445,0.38848,0.82854,1.30986,0.44435,0.82062,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,10182.8,0.89509,1.23224,0.4412,0.81629,0,0.87277,0.83513,0.88008,0.63631,0.74765,0.72016,0.75263,0.40867,0.84194,1.32817,0.51016,0.81876,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,10429,0.89513,1.25786,0.44729,0.81909,0,0.90485,0.83573,0.89224,0.64611,0.77302,0.70674,0.74352,0.39146,0.82248,1.29625,0.45648,0.81984,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,10686.1,0.89682,1.25164,0.44605,0.81888,0,0.87879,0.86696,0.88833,0.64616,0.75209,0.74112,0.75281,0.39554,0.82978,1.30022,0.44246,0.81976,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,10897,0.89119,1.25303,0.44827,0.81895,0,0.87195,0.84881,0.88862,0.64485,0.73534,0.71767,0.73301,0.37661,0.82305,1.29848,0.45975,0.81925,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,11068.1,0.88036,1.21914,0.43371,0.81573,0,0.87402,0.83517,0.87935,0.63291,0.74965,0.72214,0.74645,0.39812,0.83971,1.35136,0.46994,0.82003,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,11272.8,0.87781,1.22635,0.4374,0.81554,0,0.86998,0.84347,0.88037,0.63531,0.75499,0.71619,0.73589,0.38055,0.82731,1.30739,0.47772,0.81754,0,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,11465.4,0.90474,1.26664,0.45265,0.81889,0,0.88905,0.84673,0.89256,0.64719,0.75641,0.72736,0.75259,0.396,0.82578,1.28446,0.44834,0.81809,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,11661.4,0.88617,1.23112,0.42989,0.81771,0,0.8633,0.85208,0.8798,0.63628,0.73321,0.72412,0.7406,0.3929,0.82882,1.35966,0.46681,0.81921,0,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,11862,0.87853,1.23423,0.43297,0.81778,0,0.87654,0.8476,0.8792,0.6405,0.73722,0.71846,0.72752,0.37834,0.82867,1.303,0.48194,0.8185,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,12092.5,0.89199,1.23662,0.44197,0.81656,0,0.88883,0.83711,0.89103,0.64957,0.75223,0.70846,0.74244,0.3931,0.82018,1.29227,0.4564,0.81768,0,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,12316.2,0.88116,1.22142,0.43507,0.81472,0,0.88364,0.83719,0.88402,0.64649,0.75161,0.71354,0.74061,0.39268,0.82368,1.2956,0.44713,0.81852,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,12563.6,0.87636,1.22006,0.42891,0.81642,0,0.87104,0.86232,0.89231,0.64982,0.74327,0.73901,0.75085,0.38851,0.82141,1.2764,0.44086,0.81837,0,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,12829.2,0.88545,1.23736,0.44006,0.81641,0,0.8827,0.84528,0.89093,0.64887,0.75236,0.723,0.74894,0.39373,0.82814,1.2875,0.45973,0.81826,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,13028.3,0.87651,1.19642,0.43018,0.81171,0,0.88655,0.84442,0.88515,0.64745,0.7568,0.71445,0.74837,0.39905,0.81648,1.29153,0.45588,0.81881,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,13196.9,0.87246,1.19928,0.42713,0.8124,0,0.86834,0.84227,0.88756,0.65126,0.74476,0.70872,0.74935,0.39997,0.83112,1.30958,0.46991,0.81883,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,13386.5,0.88547,1.22556,0.43277,0.814,0,0.86436,0.84674,0.88677,0.64875,0.73302,0.71847,0.74581,0.39484,0.81953,1.29732,0.46246,0.81769,0,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,13576.7,0.86857,1.20955,0.42738,0.81548,0,0.88219,0.83381,0.89027,0.64792,0.75195,0.715,0.74539,0.38722,0.81498,1.30504,0.44776,0.81842,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,13750.6,0.87018,1.2102,0.42412,0.81489,0,0.86439,0.86438,0.88688,0.64592,0.72204,0.73474,0.73723,0.38861,0.81943,1.29827,0.45033,0.81783,0,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,13997.9,0.87453,1.2071,0.42346,0.81301,0,0.87679,0.86912,0.89179,0.65433,0.73942,0.73393,0.75084,0.39883,0.82245,1.29369,0.4462,0.8187,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,14185.2,0.86803,1.19195,0.42396,0.81172,0,0.86881,0.87101,0.89001,0.65257,0.73268,0.73729,0.74805,0.39476,0.81251,1.3017,0.44868,0.81705,0,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,14369.5,0.84662,1.16691,0.4157,0.81152,0,0.877,0.86326,0.8909,0.65267,0.73504,0.7257,0.74493,0.39692,0.81823,1.3017,0.44571,0.81792,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,14531.4,0.87324,1.21752,0.42574,0.81613,0,0.88521,0.85466,0.89374,0.65699,0.74933,0.7277,0.75399,0.40109,0.81509,1.29877,0.4391,0.81756,0,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,14713,0.86803,1.20215,0.42502,0.81388,0,0.87868,0.84321,0.88812,0.65284,0.75255,0.7162,0.75241,0.40756,0.82394,1.30641,0.44997,0.81966,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,14910.2,0.8583,1.18226,0.42,0.81152,0,0.8846,0.86017,0.89644,0.66016,0.75157,0.72584,0.75346,0.39795,0.80852,1.30415,0.43869,0.81795,0,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,15083.4,0.86221,1.19195,0.41495,0.81293,0,0.88025,0.85521,0.89657,0.65453,0.74741,0.72848,0.7538,0.40005,0.8184,1.3054,0.44912,0.81769,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,15260.5,0.85956,1.17352,0.41634,0.80961,0,0.88104,0.86111,0.89521,0.65318,0.74107,0.72799,0.74019,0.38702,0.81171,1.27967,0.43969,0.81715,0,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,15466.2,0.83629,1.15575,0.41249,0.81034,0,0.88634,0.84958,0.89234,0.65759,0.74556,0.71687,0.7483,0.39939,0.80987,1.27768,0.43841,0.81815,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,16002,0.85195,1.17741,0.41133,0.81172,0,0.88079,0.8587,0.88945,0.65541,0.74389,0.72601,0.74531,0.39255,0.80947,1.27856,0.42981,0.81809,0,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,16272.2,0.85407,1.15871,0.41176,0.81027,0,0.88414,0.86524,0.89442,0.65902,0.74631,0.73445,0.7526,0.39663,0.81429,1.30632,0.43149,0.82021,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,16464.5,0.84751,1.16772,0.40809,0.81196,0,0.87974,0.85638,0.89497,0.65893,0.74435,0.72458,0.74853,0.39557,0.8087,1.28124,0.43346,0.81732,0,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
